"","VALP","BLD_label","BDSP","JWMNP","JWTR_label"
"1",3e+05,"One-family house detached",3,45,"Car, truck, or van"
"2",3e+05,"One-family house detached",3,45,"Car, truck, or van"
"3",950000,"One-family house detached",3,30,"Car, truck, or van"
"4",950000,"One-family house detached",3,25,"Car, truck, or van"
"5",10000,"2 Apartments",3,13,"Car, truck, or van"
"6",10000,"2 Apartments",3,45,"Car, truck, or van"
"7",5e+05,"2 Apartments",2,40,"Bus or trolley bus"
"8",545000,"One-family house detached",2,30,"Car, truck, or van"
"9",130000,"One-family house detached",2,15,"Car, truck, or van"
"10",1500000,"3-4 Apartments",2,8,"Car, truck, or van"
"11",1100000,"One-family house detached",5,10,"Car, truck, or van"
"12",1100000,"One-family house detached",5,20,"Car, truck, or van"
"13",310000,"One-family house detached",4,50,"Car, truck, or van"
"14",2e+05,"5-9 Apartments",2,15,"Car, truck, or van"
"15",22200,"10-19 Apartments",1,10,"Car, truck, or van"
"16",270000,"3-4 Apartments",5,30,"Car, truck, or van"
"17",270000,"3-4 Apartments",5,5,"Car, truck, or van"
"18",120000,"One-family house detached",2,30,"Car, truck, or van"
"19",120000,"One-family house detached",2,25,"Car, truck, or van"
"20",7e+05,"One-family house detached",3,25,"Car, truck, or van"
"21",7e+05,"One-family house detached",3,5,"Car, truck, or van"
"22",1200000,"One-family house detached",6,100,"Railroad"
"23",450000,"One-family house detached",4,70,"Subway or elevated"
"24",450000,"One-family house detached",4,40,"Car, truck, or van"
"25",450000,"One-family house detached",4,15,"Car, truck, or van"
"26",250000,"One-family house detached",3,20,"Car, truck, or van"
"27",330000,"One-family house detached",4,25,"Car, truck, or van"
"28",330000,"One-family house detached",4,20,"Car, truck, or van"
"29",330000,"One-family house detached",4,20,"Car, truck, or van"
"30",650000,"One-family house detached",3,5,"Car, truck, or van"
"31",650000,"One-family house detached",3,45,"Car, truck, or van"
"32",550000,"One-family house detached",4,80,"Streetcar or trolley car (carro publico in Puerto Rico)"
"33",550000,"One-family house detached",4,50,"Car, truck, or van"
"34",1e+06,"One-family house detached",4,20,"Car, truck, or van"
"35",1e+06,"One-family house detached",4,45,"Car, truck, or van"
